addr,time,Fx,Fy,Fz,Mx,My,Mz
170,4.533,-0.00978,-0.01003,-0.00143,-0.00013,0.00022,0.00007
170,4.534,-0.00749,-0.00095,-0.00255,-0.00019,0.00014,-0.0001
170,4.535,0.00311,0.01094,0.00072,0.00025,0.00002,-0.00003
170,4.536,0.00161,0.00679,0.00192,0.00016,0,0.0001
170,4.537,0.00076,0.0011,0.00345,0.00012,0.00003,0.00006
170,4.538,0.00189,-0.00259,0.00079,-0.00002,0.00005,0.00017
170,4.539,-0.00346,0.00467,-0.00577,0.00014,0.0001,-0.0001
170,4.54,0.00591,-0.00095,-0.00087,-0.00012,-0.00008,0.00007
170,4.541,-0.0023,0.00088,-0.00414,0.00003,-0.00009,-0.00005
170,4.542,-0.0046,0.00578,-0.00421,0.00012,0,-0.00008
170,4.543,-0.00361,0.00267,0.0034,0,0.00008,-0.00003
170,4.544,-0.00838,-0.00784,-0.00256,-0.00012,0.00018,-0.00003
170,4.545,-0.00692,-0.00064,-0.00221,-0.00012,0.00015,-0.00008
170,4.546,0.00561,0.00175,0.00243,0.00007,-0.00006,0.0001
170,4.547,-0.00596,0.0043,-0.00414,0.0001,0.00007,-0.00018
170,4.548,-0.00983,-0.0078,-0.00037,-0.00007,0.00024,-0.00012
170,4.549,-0.00326,-0.00216,0.00222,-0.00001,0.00013,-0.00002
170,4.55,0.00401,0.00579,-0.00388,0.00004,0.00006,0.00002
170,4.551,-0.01191,-0.00023,-0.00149,0,0.00024,-0.00005
170,4.552,-0.0029,-0.00913,-0.00065,-0.00012,0,-0.00004
170,4.553,-0.00293,-0.00448,-0.00361,-0.0002,0,0.00008
170,4.554,0.00013,0.01224,-0.00145,0.00044,0.00003,-0.00009
170,4.555,-0.00451,0.00936,-0.00109,0.00011,0.00006,0.00006
170,4.556,-0.00301,0.00881,0.00597,0.00021,0.00023,-0.00009
170,4.557,0.00387,-0.00073,0.00328,-0.00006,-0.00001,-0.00005
170,4.558,-0.00377,-0.00105,-0.00137,-0.00013,-0.00003,0.00003
170,4.559,-0.00093,0.00584,0.00483,0.0002,0.00011,0.00002
170,4.56,-0.00475,0.00353,-0.00245,-0.00004,0.00004,-0.00006
170,4.561,-0.00201,-0.00633,-0.00192,-0.00001,0.00007,0.00013
170,4.562,0.00281,0.00325,0.00623,0.00012,0.00001,-0.00006
170,4.563,0.01333,0.00269,0.00231,-0.00004,-0.00029,0.00005
170,4.564,-0.00114,0.01329,-0.00158,0.00034,0.00016,-0.00004
170,4.565,0.00831,-0.00174,0.00044,-0.00006,-0.00011,-0.00002
170,4.566,-0.00481,-0.00403,-0.00429,-0.00008,0.00008,-0.00006
170,4.567,0.00111,0.0082,-0.00564,0.00025,-0.00002,-0.00001
170,4.568,-0.00014,0.00486,0.00396,0.00001,-0.00002,0.00004
170,4.569,-0.00866,0.00183,-0.0006,0.00014,0.00006,-0.00015
170,4.57,-0.01603,-0.00745,0.00382,-0.00022,0.00027,0.00001
170,4.571,-0.01234,0.00832,-0.00094,0.00027,0.00029,0
170,4.572,0.00179,0.00082,0.00012,0.00004,-0.0002,-0.00001
170,4.573,0.0029,0.00218,0.00274,-0.00002,-0.00003,0.00005
170,4.574,-0.00787,0.00325,-0.00308,0.00003,-0.00005,-0.00009
170,4.575,-0.00376,-0.00094,-0.00163,-0.00011,0.00002,-0.00005
170,4.576,0.00092,-0.00485,-0.00047,-0.00011,-0.00007,-0.0002
