Channel_0,Channel_1,Channel_2,Channel_3
100.601288,101.093788,101.011192,102.388718
100.600639,101.093452,101.011192,102.374130
100.600319,101.093613,101.010880,102.354614
100.601471,101.093277,101.010567,102.334793
100.601471,101.093613,101.010239,102.318497
100.601471,101.093613,101.010239,102.302040
100.602287,101.094803,101.010727,102.285263
100.601974,101.094955,101.010727,102.265099
100.602287,101.094620,101.010727,102.073509
100.603088,101.094955,101.010727,101.821182
100.601974,101.094284,101.011246,101.632362
100.602287,101.094528,101.010605,101.490250
100.602287,101.094528,101.010292,101.385323
100.601974,101.094193,101.009964,101.306519
100.601974,101.093857,101.011093,101.247787
100.603409,101.094360,101.010460,101.202515
100.602432,101.093697,101.011253,101.168465
100.602119,101.093361,101.011253,101.143242
100.601471,101.093025,101.011749,101.124130
100.601646,101.093857,101.011429,101.110458
100.601646,101.094528,101.011108,101.100502
100.600998,101.095039,101.011108,101.092941
100.601318,101.095367,101.011597,101.087975
100.602287,101.095039,101.012428,101.082535
100.601822,101.095200,101.012115,101.079269
100.601822,101.095200,101.012283,101.077026
100.602150,101.094864,101.011330,101.075462
100.601822,101.095711,101.010376,101.074440
100.602005,101.095039,101.010056,101.072945
100.602005,101.094704,101.009903,101.073288
100.601677,101.095207,101.010071,101.071793
100.601677,101.095207,101.011192,101.071121
100.601677,101.095871,101.010880,101.070786
100.602005,101.095535,101.011040,101.069969
100.603149,101.095711,101.010406,101.070175
100.603325,101.095375,101.011246,101.069710
100.603653,101.095039,101.010605,101.069107
100.603012,101.095039,101.010773,101.069687
100.603012,101.094376,101.011581,101.069084
100.603012,101.095238,101.012062,101.069977
100.602676,101.095581,101.011742,101.069374
100.603188,101.095238,101.012749,101.069801
100.603508,101.095238,101.012589,101.069199
100.602859,101.095413,101.013565,101.069275
100.603043,101.094742,101.012924,101.069016
100.603355,101.095078,101.013412,101.069122
100.602394,101.095078,101.012779,101.069069
100.602394,101.094742,101.012947,101.068680
100.602890,101.094406,101.012947,101.068939
100.602890,101.095581,101.013145,101.069016
100.601738,101.095253,101.012833,101.070145
100.602066,101.094582,101.013634,101.068733
100.603539,101.094582,101.012993,101.068680
100.603539,101.094246,101.013168,101.068680
100.603539,101.094582,101.012840,101.067612
100.603218,101.094582,101.013329,101.067551
100.602890,101.094582,101.014137,101.068687
100.602249,101.095078,101.013809,101.068298
100.602249,101.094742,101.014648,101.069054
100.602249,101.094742,101.014015,101.068657
100.603073,101.094406,101.014503,101.067245
100.603073,101.094078,101.014175,101.067329
100.603714,101.093407,101.013550,101.067986
100.602890,101.093407,101.013550,101.067932
100.602570,101.093742,101.014381,101.068352
100.602249,101.093407,101.014381,101.068298
100.601921,101.094582,101.014870,101.067894
100.601601,101.094582,101.014542,101.067543
100.601601,101.094582,101.015030,101.067963
100.601280,101.094246,101.015030,101.067909
100.602425,101.093575,101.015671,101.066826
100.602425,101.093246,101.016800,101.068268
100.602753,101.092911,101.017632,101.068245
100.602425,101.093575,101.019066,101.069679
100.602753,101.093575,101.024826,101.068947
100.603249,101.094414,101.037613,101.069565
100.602600,101.093742,101.060722,101.068840
100.602280,101.093742,101.097427,101.068825
100.602600,101.093742,101.143356,101.068420
100.602600,101.093742,101.198662,101.068497
100.601959,101.094078,101.259117,101.067429
100.602600,101.094414,101.320580,101.068527
100.603745,101.094414,101.381371,101.067825
100.603432,101.093742,101.445419,101.067429
100.602783,101.093407,101.507851,101.067505
