Channel_0,Channel_1,Channel_2,Channel_3
100.076866,100.669960,100.801750,126.239853
100.076866,100.669624,100.801750,126.153221
100.077835,100.669289,100.801750,126.070663
100.078163,100.668617,100.801750,125.979935
100.078484,100.668617,100.801430,125.863632
100.077957,100.668755,100.801750,125.753128
100.078804,100.670631,100.801109,125.661377
100.079453,100.670296,100.801109,125.567932
100.079453,100.669960,100.800789,125.463577
100.079132,100.669960,100.800789,125.350342
100.079132,100.669624,100.801109,125.249428
100.078804,100.668953,100.801109,125.163490
100.077835,100.668953,100.801918,125.088478
100.078484,100.669624,100.802231,125.007996
100.078163,100.669624,100.801918,124.928894
100.078484,100.669289,100.802231,124.865822
100.079132,100.669289,100.802544,124.806480
100.079453,100.668953,100.801590,124.744080
100.079453,100.668953,100.800644,124.681007
100.078484,100.669785,100.800644,124.616920
100.078804,100.669449,100.800644,124.569870
100.079453,100.668282,100.801125,124.535080
100.079453,100.669113,100.801125,124.493507
100.079453,100.669449,100.801758,124.451218
100.079132,100.668617,100.801758,124.404518
100.079453,100.669289,100.801277,124.350998
100.078163,100.668617,100.801590,124.294754
100.077515,100.668617,100.801590,124.240189
100.077835,100.668282,100.801277,124.188370
100.077629,100.668617,100.800644,124.145409
100.077957,100.667953,100.800316,124.098038
100.078598,100.668777,100.799683,124.039406
100.078285,100.667953,100.799683,123.984863
100.077957,100.667618,100.800003,123.924538
100.078285,100.668617,100.800804,123.858414
100.078285,100.668282,100.800804,123.799416
100.078598,100.668617,100.801437,123.737076
100.078285,100.668282,100.802078,123.677086
100.078598,100.667953,100.802399,123.625282
100.078430,100.667953,100.800644,123.593918
100.078430,100.667282,100.801125,123.567673
100.078926,100.667953,100.801437,123.542496
100.078285,100.667618,100.802078,123.505653
100.078926,100.667953,100.800949,123.468544
100.078926,100.667953,100.801758,123.444351
100.078102,100.667953,100.801758,123.427307
100.077782,100.667953,100.801437,123.427307
100.078926,100.667618,100.800644,123.408859
100.079247,100.667618,100.800316,123.388428
100.079247,100.667282,100.800003,123.362854
100.078430,100.667282,100.800003,123.334229
100.078751,100.667282,100.800003,123.306969
100.079399,100.667282,100.800316,123.293007
100.079720,100.666946,100.800644,123.270164
100.079079,100.665939,100.800804,123.241501
100.079079,100.665268,100.800804,123.207779
100.079247,100.664932,100.800804,123.177101
100.078598,100.666100,100.800484,123.161423
100.077461,100.666435,100.799850,123.144043
100.078285,100.666435,100.799210,123.125267
100.078598,100.667442,100.799210,123.103470
100.077782,100.667778,100.798889,123.087112
100.078102,100.666611,100.798569,123.059204
100.077782,100.666275,100.798889,123.019676
100.078102,100.666771,100.798409,122.983887
100.078430,100.666771,100.798721,122.978104
100.078430,100.666771,100.799210,122.977074
100.079399,100.666435,100.799850,122.972641
100.078575,100.666771,100.799530,122.972946
100.078262,100.667107,100.800163,122.985901
100.078575,100.666939,100.800484,122.990334
100.079720,100.666939,100.800484,122.991013
100.079224,100.667274,100.800804,122.992722
100.078575,100.667610,100.800484,122.987915
100.079399,100.667610,100.800163,122.968872
100.080048,100.667610,100.799850,122.945694
100.080696,100.667274,100.800163,122.920105
100.081017,100.666939,100.800484,122.898972
100.080368,100.666603,100.800972,122.880920
100.080368,100.666771,100.800018,122.867966
100.080048,100.666100,100.799698,122.859451
100.080696,100.666100,100.799210,122.852982
100.079544,100.665764,100.799530,122.846817
100.080696,100.666100,100.799530,122.835251
100.081017,100.666100,100.800972,122.834923
100.080696,100.665764,100.800484,122.831848
100.080696,100.665764,100.800804,122.817200
100.079224,100.666939,100.801125,122.796715
100.079224,100.666603,100.801437,122.783775
100.079544,100.666603,100.801125,122.777634
100.079880,100.665939,100.800804,122.770157
100.079880,100.666267,100.800484,122.752090
100.079224,100.665604,100.800972,122.728577
100.079224,100.665604,100.800644,122.702682
100.078728,100.664764,100.799530,122.690414
100.078728,100.664429,100.800644,122.678452
100.079056,100.663757,100.800972,122.652893
